Customer_Name,Email,Age,City,Product_Category,Purchase_Amount,Purchase_Date,Marketing_Channel,Response,Month,Age_Group,High_value_customer
Timothy Gutierrez,Andrew25@Example.Com,36,Unknown,Beauty,562.37,7/12/2025,Social Media,No,December,36-50,Yes
Connor Howard,William58@Example.Org,57,Unknown,Sports,342.33,12/20/2025,Sms,Yes,December,50+,No
Matthew Anderson,Ocruz@Example.Org,63,Unknown,Electronics,123.47,7/2/2026,Email,Yes,February,50+,No
Emily Brown,Hillrobert@Example.Com,51,Unknown,Apparel,728.93,9/23/2025,Sms,Yes,September,50+,Yes
James Castillo,Wwood@Example.Net,51,Unknown,Beauty,583.89,11/27/2025,Email,Yes,November,50+,Yes
Natasha Lowe,Melissadonaldson@Example.Org,28,Unknown,Apparel,445.96,5/10/2025,Sms,No,October,26-35,No
Lori Sullivan Md,Andersondale@Example.Net,37,Unknown,Electronics,145.1,12/20/2025,Sms,Yes,December,36-50,No
Kristi Hansen,Ashley10@Example.Net,30,North Katelynside,Sports,666.43,11/21/2025,Sms,Yes,November,26-35,Yes
Wanda Leonard Dds,Daniellucero@Example.Com,35,Unknown,Sports,212.39,2/3/2026,Social Media,Yes,March,26-35,No
Riley Jones,Wthomas@Example.Org,56,Unknown,Apparel,212.69,3/21/2026,Sms,Yes,March,50+,No
Benjamin Kelly,Gregory64@Example.Org,36,Unknown,Sports,830.43,9/2/2026,Email,No,February,36-50,Yes
Megan Valdez,Michelle29@Example.Net,25,Unknown,Electronics,871.21,2/13/2026,Ads,Yes,February,18-25,Yes
Stephanie Landry,Espinozastephanie@Example.Com,58,Unknown,Beauty,237.38,3/14/2026,Email,Yes,March,50+,No
Barbara Arellano,Isnyder@Example.Net,28,Unknown,Apparel,899.8,1/20/2026,Sms,No,January,26-35,Yes
Regina Campbell,Smithbrian@Example.Net,31,Unknown,Electronics,996.08,12/2/2026,Sms,No,February,26-35,Yes
Dennis Jensen,Bernarderic@Example.Org,41,Unknown,Beauty,583.54,8/11/2025,Sms,No,November,36-50,Yes
William Lopez,Palmerkevin@Example.Com,58,Lake Cristianchester,Beauty,967.3,1/20/2026,Email,Yes,January,50+,Yes
Mark Johnson,Ascott@Example.Org,57,North Taramouth,Sports,749.53,3/21/2026,Ads,Yes,March,50+,Yes
Dan Weiss,Ronaldrivera@Example.Org,57,Unknown,Sports,200.07,3/17/2026,Ads,No,March,50+,No
Rachel Hale,Christopherjones@Example.Com,57,Unknown,Beauty,409.28,9/22/2025,Sms,No,September,50+,No
Patricia Patterson,Ncameron@Example.Net,40,Unknown,Apparel,739.49,8/2/2026,Ads,No,February,36-50,Yes
Jasmine Daugherty,Randy11@Example.Org,35,Edwinborough,Electronics,516.02,9/12/2025,Email,Yes,December,26-35,Yes
Jeffrey Klein,C@herinewilliams@Example.Net,32,Unknown,Electronics,531.4,12/31/2025,Social Media,Yes,December,26-35,Yes
Jacob Patel,Ramirezdeborah@Example.Net,19,Unknown,Electronics,194.55,11/2/2026,Email,No,February,18-25,No
Charles Cameron,Tammy03@Example.Com,50,Unknown,Sports,180.3,5/3/2026,Email,Yes,March,36-50,No
Cynthia Bender,Jerry61@Example.Org,58,Unknown,Sports,791.29,2/15/2026,Sms,No,February,50+,Yes
Mr. Matthew Horton,Rickyowen@Example.Org,18,Unknown,Apparel,13.14,3/16/2026,Ads,No,March,18-25,No
Jonathan Galloway,N@hanlewis@Example.Org,48,Unknown,Beauty,429.48,10/28/2025,Email,Yes,October,36-50,No
Jonathan Curtis,Bbrown@Example.Org,60,Melissaview,Apparel,173.29,4/11/2025,Email,Yes,November,50+,No
Anna Lopez,Cindy48@Example.Com,31,Unknown,Electronics,111.11,7/11/2025,Social Media,Yes,November,26-35,No
Amber Chen,Melissamartin@Example.Org,56,Unknown,Beauty,657.83,1/15/2026,Sms,Yes,January,50+,Yes
Connor Brown,Hhanna@Example.Net,25,Unknown,Electronics,983.53,9/12/2025,Email,No,December,18-25,Yes
Theresa Valentine,Geraldp@terson@Example.Com,21,Unknown,Beauty,794.92,12/28/2025,Ads,No,December,18-25,Yes
Benjamin Farmer,Christopher41@Example.Org,56,Unknown,Electronics,626.78,4/2/2026,Email,Yes,February,50+,Yes
Kevin Rowe,Ralph70@Example.Org,54,West Phillip,Beauty,865.44,10/13/2025,Email,Yes,October,50+,Yes
Joseph Lopez,Marydavis@Example.Com,49,Unknown,Beauty,654.16,12/15/2025,Email,Yes,December,36-50,Yes
Curtis Moore,Iknight@Example.Com,65,Unknown,Electronics,351.38,2/25/2026,Social Media,No,February,50+,No
Clinton Smith,Hopkinsmichael@Example.Com,34,Unknown,Sports,711.28,10/23/2025,Social Media,No,October,26-35,Yes
Adriana Kaufman,Mtaylor@Example.Com,,Lake Rogerport,Sports,119.46,11/2/2026,Sms,No,February,18-25,No
Steven Reynolds,Vdunn@Example.Net,,West Tinaview,Electronics,664.89,10/1/2026,Ads,Yes,January,18-25,Yes
